"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","UNIT","FREQUENCY","SCALE","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_MA(10.0.1)","KNA.BM_SA_SI.XDC.A","OBS_VALUE","St. Kitts and Nevis","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","CAF.BMM5_SI.XDC.A","OBS_VALUE","Central African Republic","Broad Money, M5","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","413311","","",""
"IMF.STA:MFS_MA(10.0.1)","COG.BMM5_SI.XDC.A","OBS_VALUE","Congo, Republic of","Broad Money, M5","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264167","260356","309048","411334","578271","650558","901509","948755","1289567","1801003","2184451","2219876","2529009","2239653","1890187","1682583","1580255","1797949","2051449","2202373","2392710","2626228","",""
"IMF.STA:MFS_MA(10.0.1)","SRB.BMM5_SI.XDC.A","OBS_VALUE","Serbia, Republic of","Broad Money, M5","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","613888.029","702475.462","808309.1","872007","1017826.23","1186596.257","1553797.441","1767997.614","1876545.621","2280993.042","2685364.97",""
"IMF.STA:MFS_MA(10.0.1)","LCA.BM_SA_SI.XDC.A","OBS_VALUE","St. Lucia","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","MRT.BM_MAI.XDC.A","OBS_VALUE","Mauritania, Islamic Republic of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43792.461899655","53610.623910409","54389.244646379","54233.3125711777","57855.6776435101","67494.163306445","74858.51328737","82306.48946606","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","TGO.BM_SA_SI.XDC.A","OBS_VALUE","Togo","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","MNG.BMM5_SI.XDC.A","OBS_VALUE","Mongolia","Broad Money, M5","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2401249.71188053","2267415.26199884","2879429.72567863","4678683.6717294","6411181.69530806","7611876.98614084","9452551.8026871","10634330.6949705","10048995.8267847","12158529.9360846","15861198.5451781","19474697.5696298","20833642.01195","24480747.6817811","27863476.5394239","29664808.0112964","37624081.2435316","43276310.7467428",""
"IMF.STA:MFS_MA(10.0.1)","NOR.BMM5_SI.XDC.A","OBS_VALUE","Norway","Broad Money, M5","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2148134","2259470","2349250","2634890","2911604","3073102","3086411","3192854",""
"IMF.STA:MFS_MA(10.0.1)","MLI.BM_SA_SI.XDC.A","OBS_VALUE","Mali","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","",""
