Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bhutan,BTN,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.24793,18.01746,14.0752,16.49914,18.32962,20.17055,24.37849,24.40376,26.57349,34.27536,30.41314,35.35531,26.65554,24.0074,30.01896,26.09582,19.87966,20.16548,24.12736,25.16384,32.68913,35.09229,40.64752,48.24746,58.12054,69.97134,50.12354,64.78386,83.97591,85.43483,88.82826,75.57259,83.6738,79.48554,78.57774,87.47758,92.31911,76.18356,..
Bolivia,BOL,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,Bank credit to bank deposits (%),GFDD.SI.04,101.897,117.8261,112.3322,151.8687,190.8307,181.9339,152.6566,145.4104,146.4238,137.769,137.1332,123.9887,137.1438,153.5702,164.1083,149.9907,123.5153,126.4212,147.4849,170.1996,139.659,128.4102,164.5311,149.4488,227.1809,343.9252,184.499,177.0657,160.1435,150.7339,137.4338,124.1324,128.7989,128.7801,143.2256,139.9017,119.2195,121.4638,131.6395,132.8423,127.247,101.6157,107.5988,98.2289,111.5977,105.9834,98.95088,89.89114,81.0978,72.17886,80.57392,82.32555,81.29902,82.52028,80.8846,78.95948,87.66471,88.86385,95.41489,101.2815,99.62559,97.54038
Bosnia and Herzegovina,BIH,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.15544,39.98301,96.09167,-50.59959,-43.9926,-9.331928,12.48911,-17.3101,-6.541847,-7.417332,-1.257947,-16.26611,-3.19347,-6.588345,17.5132,-3.59558,-1.577103
Bosnia and Herzegovina,BIH,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2861.013,2861.112,729.4155,598.1487,129.7971,143.2232,144.7469,126.7806,129.8428,123.8611,128.1685,154.9637,140.1147,134.5087,115.7471,114.9381,108.5171,103.7253,98.63047,94.95255,92.66695,89.41398,87.48944,80.7691,75.14927
Botswana,BWA,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.31888,64.64451,65.76671,27.19579,29.7657,36.46133,27.80887,-7.928582,19.41052,16.79259,44.80234,82.76039,-9.571416,-13.93899,9.642026,-4.54126,3.533151,17.01255,9.383114,11.37691,-3.197314,-8.824349,-8.385349,-8.110509,-5.932852,-6.376636
Botswana,BWA,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,46.35703,62.71968,85.14425,107.8749,87.61382,70.95203,71.42769,64.52416,76.83952,81.51199,66.8106,69.94617,63.49098,54.87801,60.35077,56.27462,49.38788,51.36491,63.43925,61.41013,75.09146,75.38593,74.35313,64.58215,56.14351,47.14634,46.05565,52.88725,64.66576,55.94741,70.49678,67.20451,76.35665,71.93231,50.63876,48.4334,50.60551,56.96027,58.52842,66.57545,73.44469,77.69431,84.29067,75.6105,78.19441,80.20076,78.74796,77.91669,77.83256,77.9705
Brazil,BRA,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1287.654,3014.219,4012.566,32.70412,50.41954,76.85431,-10.65093,19.78516,46.6328,-13.66381,-18.23553,25.97274,54.44777,23.40851,38.26445,39.709,3.73991,-4.383848,27.42207,-8.986051,-2.639687,-9.89792,-1.962304,-5.53482,6.885849,28.06121,19.97747,23.28735,-1.875297,18.17099
Brazil,BRA,Bank credit to bank deposits (%),GFDD.SI.04,80.68896,77.33577,72.81454,69.09315,70.73268,66.46178,70.80199,73.8243,83.45287,127.8171,142.487,165.1163,169.2308,164,180.2817,180.7175,191.7889,188.972,172.7497,166.1942,166.5984,162.3818,163.452,147.3833,137.1456,120.5175,92.39948,122.3596,136.005,118.4191,154.1332,144.4129,149.5025,166.2225,160.3788,147.9997,130.7959,118.7084,81.05559,74.5938,71.52506,64.7906,69.28678,60.44796,59.48403,59.16041,62.53505,72.07645,79.7676,92.11935,104.9744,115.7428,116.4879,122.1056,120.59,117.2728,99.27887,92.27802,90.40649,91.4394,92.10096,100.071
