"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_DC(8.0.0)","OMN.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Oman","Assets, Claims on Private sector","Domestic currency","Annual","Millions","3001.449","3012.729","3060.085","3258.793","3662.968","4397.315","5749.0373","8221.71","8684.276","9545.219","10753.483","12369.701","13068.475","14605.116","17596.971","19248.659","20491.117","21474.635","22040.345","22339.47086715713","22877.234540181","23547.146","24375.41812160444","26019.44846287657",""
"IMF.STA:MFS_DC(8.0.0)","LKA.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Sri Lanka","Assets, Claims on Private sector","Domestic currency","Annual","Millions","432164","490440.083595775","559604.448","676392.166","810569.525683356","1017879.31401428","1224822.462516","1302551.32774863","1243092.63260145","1631920.45269184","2520494.45977291","3049614.01863963","3322710.85118326","3704376.52411869","4542238.61862589","5424472.29934215","6295083.21960174","7147928.18531701","7457722.61351453","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","TJK.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Tajikistan, Republic of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","374.548124","434.225596","575.380609","269.896064","474.464313","674.681963","1552.579253","2353.73515569","2529.519191933","2992.020084194","4278.28356514733","4385.21791339437","6783.21349954","9063.11482409","10169.0829261","9636.42494748","7639.49890909","7857.53562069","8474.05821346","9931.86266286","9627.9509446","11477.64217163","15381.3587221","",""
"IMF.STA:MFS_DC(8.0.0)","TZA.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Tanzania, United Republic of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","447804.45240998","630164.90155621","901461.97923299","1193620.29868354","1542177.31616839","2177060.1987411","3019675.68513644","3897415.2750665","4225922.17492098","5140201.42150235","6589844.0610821","7932639.3936985","9093473.8798736","10925464.0716043","13654275.1699528","14693432.6660311","15420368.0519477","16300873.1540779","17510696.360694","18729895.9842755","20960219.2173652","26344253.0435311","30747328.1406622","34219810.329638",""
"IMF.STA:MFS_DC(8.0.0)","SYR.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Syrian Arab Republic","Assets, Claims on Private sector","Domestic currency","Annual","Units","78552000000","83535000000","108536000000","147650000000","222419956000","253756500000","304843171309.12","429345021580.12","495002315941.818","621792561766.107","674696252302.924","","","","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","SDN.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Sudan","Assets, Claims on Private sector","Domestic currency","Annual","Millions","1011.36","1784.2540654","2796.32","4211.6183250916","6696.7948028406","10859.40408535","11759.45834847","12710.71511035","15513.22130868","17958.82867678","19426.67223787","26965.56199578","33033.78910006","35919.82432812","41606.3460598","52561.440319803","72735.4923324893","123107.173237186","179477.560629045","320843.700858085","886212.03917939","1621737.11676861","","",""
"IMF.STA:MFS_DC(8.0.0)","MMR.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Myanmar","Assets, Claims on Private sector","Domestic currency","Annual","Millions","390409","581924","316048","430356","572202","653405","798967","912401","1176861","1896140","3124283","4772373.53","7447839.85","10155811.52","13171926.81","17536953.73","21939747.51","26273339.81","30003154.01","31276728.87","","","","",""
"IMF.STA:MFS_DC(8.0.0)","MRT.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Mauritania, Islamic Republic of","Assets, Claims on Private sector","Domestic currency","Annual","Millions","","","","","","","","","","","","33060.892192","39394.509592292","38488.7463695746","41801.8918500247","45338.7597277066","50858.3851018069","58385.081409867","65444.601629","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","NIC.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Nicaragua","Assets, Claims on Private sector","Domestic currency","Annual","Millions","9783.18539656","11228.20737188","14173.94011046","18075.74569391816","23852.96670177972","31358.6856247725","41252.0689733914","46334.0968109769","42842.7274691887","45388.3782751098","52491.8020322328","66318.71079364","79746.7530671211","96132.2814487759","118724.3282907023","139532.498103175","161915.8223412172","147823.4766306198","125673.900635676","120973.1534512561","127321.9161730178","147070.510353268","173607.1743416817","209560.8328151597",""
"IMF.STA:MFS_DC(8.0.0)","COM.ODCORP_A_ACO_PS.XDC.A","OBS_VALUE","Comoros, Union of the","Assets, Claims on Private sector","Domestic currency","Annual","Millions","8710.804655","9607.350757","11220.560836","10111.065674","13292.657964","13344.68066","15172.113709","19304.55558599997","27850.02859889","34959.7721247038","38031.54381772","46124.5588212769","51990.89483211038","57293.8948802022","66870.35909347","71721.16626767","76293.35475681","77228.94559443","80362.65249541","77509.66663868","84878.00737173","95594.71","108729.1605750699","109549.3152619501",""
