"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_DC(8.0.0)","BLR.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Belarus, Republic of","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","60.8234190452382","90.2703215744476","116.190019228735","150.340368800395","264.42931","142.34757","638.75322","309.89099","800.19003","-208.87735","3479.31561","3059.36064","-1324.24898","-3938.33593","-4158.23700000001","-871.94529","6293.1860651","7958.8684532","11878.9703870796","9396.19838073468","11410.3261395969","","","",""
"IMF.STA:MFS_DC(8.0.0)","SOM.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Somalia","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","228.7596529210309","278.52132589","500.12997838","715.50437072","852.24773054","993.96655755","1208.517965189759",""
"IMF.STA:MFS_DC(8.0.0)","G163.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Euro Area (EA)","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","78195.42523402","207989.64784104","251650.79414035","394539.25776239","434348.95405478","653206.16444268","643156.34836507","443508.05684379","516707.26022557","580487.941696689","883774.53525225","987111.51865969","1117922.19860912","1408510.08227606","1369413.20761448","1143801.43492689","955756.95812083","1056960.1498748","1480990.3268286","1432144.12314842","1358089.71221721","1310227.49526349","1831452.14069645","2661727.45975105",""
"IMF.STA:MFS_DC(8.0.0)","DEU.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Germany","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","265798.79942922","405595.72186439","527095.2826606","685095.21569206","906728.84824013","1157017.60008835","1448236.36760771","1562215.0329898","1511299.43564133","1454108.18733799","1624030.16665032","1647238.41705835","1603079.05119831","1681632.26997578","1686751.79110402","1666811.57388491","1644852.04157109","1731079.71446202","1834272.42367532","1908438.455851","1816758.13198522","1886595.58890153","2008977.94847588","",""
"IMF.STA:MFS_DC(8.0.0)","AUT.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Austria","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","61404.66135601","77885.4289779037","88259.612302903","97625.152653579","106413.359293496","123442.186320141","169296.54347648","188770.491862896","189329.072906558","179603.367894225","160066.128482569","149101.3903501","144461.029996151","155735.701091019","144157.061876058","124288.587818408","106360.188649512","110267.47270652","121562.908151966","140624.055114643","108990.478636779","87606.4392231692","94173.8239875221","113766.86387645",""
"IMF.STA:MFS_DC(8.0.0)","LTU.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Lithuania, Republic of","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","","","","","","","","","","171.121827414379","1327.12360115978","2619.11957548924","2530.11382437476","3815.12060368069","4385.12572001529","3340.11990582269","5818.10711465386","7071.11973810484","11269.029749452","19297.303771352","24142.4485262723","24973.1416202311","30393.6487649901","40275.8678074671",""
"IMF.STA:MFS_DC(8.0.0)","LVA.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Latvia, Republic of","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","","","","","","","","","","-1921.5396287657","-625.4726944617","609.78214316983","1023.98145864507","2187.24555221368","1697.854469992","1916.15193521287","1886.52727488566","4244.81160334369","5990.79152926218","7707.88578559209","8067.36480008384","6994.91725375183","7224.35183712204","9497.17110528617",""
"IMF.STA:MFS_DC(8.0.0)","EST.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Estonia, Republic of","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","","","","686.01722032932","775.89303246215","-491.66657568474","-2466.63841696148","-3106.9242006095","-2733.92510651036","-1773.92106107265","-1052.91940870727","97.6057236829424","923.797329519412","1426.01807003566","1282.18200837278","1399.67046632102","2910.57292876253","3999.3227498245","6698.42421326818","9877.40224731107","11892.0949012478","9808.25619889914","8863.79211843797","8785.17474963058",""
"IMF.STA:MFS_DC(8.0.0)","BEL.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Belgium","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","44401.635285717","66723.548003219","80108.123314293","89513.4606379189","82914.965761804","79143.92131113","102821.926031495","103907.667385212","110247.905774525","110536.013940853","107504.286043041","106183.296669789","127883.940304826","136742.077282833","139361.040144446","132796.38111221","110235.201828814","119561.773818118","134363.480871062","150263.616739555","140863.957892996","133224.608876349","126310.514533317","180327.40871269",""
"IMF.STA:MFS_DC(8.0.0)","SVN.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Slovenia, Republic of","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","","","","3935.88402281031","2057.86052387334","-426.272514119299","-4088.7791429316","-6512.7911664704","-3354.446513464","-2615.5062568833","-1155.9636301178","-1571.42009517448","3656.32860278305","9685.87304460597","8854.55632922726","9275.61631843001","10280.5698909823","12877.8287719975","15343.5035227629","20077.3321183591","22397.4754191462","23122.7704931816","29933.7007310958","31804.9842310592",""
"IMF.STA:MFS_DC(8.0.0)","FIN.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Finland","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","16138.0933088353","20859.7920281362","24249.4904469998","25182.876597399","22018.5727066163","27614.0866917601","33854.8365028531","27747.0755725221","31298.203001275","41735.294720325","52898.997231882","48046.2535359774","43099.4491872503","44086.1011985802","53147.8223189628","34536.6175340307","9687.25127229523","77046.2145024518","72285.2442024029","71883.121825617","47450.1017020814","39083.059148138","43159.1418393646","60736.9633160127",""
"IMF.STA:MFS_DC(8.0.0)","GRC.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Greece","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","16245.7562294804","4402.22306007671","9957.4203272079","12787.3207808322","5552.8019591586","1980.39836664391","2057.55488787799","5474.427126448","27352.901951482","-52724.707692456","-64431.265209269","-28034.0711748407","5287.76420351309","8485.06760806587","9210.07343722217","16756.7483286331","24187.6148022865","46945.8395623537","55173.9799597847","50674.5141428152","70178.9135601101","64563.1890572059","66384.5008405165","77543.3929088463",""
"IMF.STA:MFS_DC(8.0.0)","CYP.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","Cyprus","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","","","","","5571.309759996","8770.9782601038","8930.7001117831","7255.3902235709","5946.2298692935","5801.35448875309","-129.826437218803","-795.434863244377","-5741.44000517129","173.764175681637","1044.79755296112","8285.49234738208","9731.24803393119","14029.5049812961","17636.4714972236","18292.5834056537","20919.3680045453","23898.3877627329","27308.431865223","31880.7480905272",""
"IMF.STA:MFS_DC(8.0.0)","FRA.DCORP_NETAL_NFRA.EUR.A","OBS_VALUE","France","Net (assets less liabilities), Net foreign assets","Euro","Annual","Millions","267076.417959099","335781.161243947","365989.11413403","426596.952513167","543930.02769461","549048.92654821","505432.47802296","458534.54620369","597161.63302782","656231.07050031","637166.07910258","577724.530297709","548806.411572244","554847.595826079","543679.664188618","495843.873157179","412023.028938211","375872.467594632","437640.631717838","481021.951805768","425192.039437943","346898.443236442","517055.027968165","627474.010552455",""
